"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jan 23 17:21:17 GMT 2024","Tue Jan 23 17:21:17 GMT 2024","40","chromium","currencies_v2.spec.ts","Currencies Convertions","","","Verify INR to SGD conversion",""
"failed","Tue Jan 23 17:21:15 GMT 2024","Tue Jan 23 17:21:15 GMT 2024","39","chromium","currencies_v2.spec.ts","Currencies Convertions","","","Verify EUR to GBP conversion",""
"failed","Tue Jan 23 17:21:27 GMT 2024","Tue Jan 23 17:21:27 GMT 2024","37","chromium","currencies.spec.ts","Currencies Convertions","","","Verify INR to SGD conversion",""
"failed","Tue Jan 23 17:21:20 GMT 2024","Tue Jan 23 17:21:20 GMT 2024","39","chromium","currencies.spec.ts","Currencies Convertions","","","Do not accept a conversion with zero amount",""
"failed","Tue Jan 23 17:21:26 GMT 2024","Tue Jan 23 17:21:26 GMT 2024","39","chromium","currencies.spec.ts","Currencies Convertions","","","Verify CHF to CNY conversion",""
"failed","Tue Jan 23 17:21:16 GMT 2024","Tue Jan 23 17:21:16 GMT 2024","37","chromium","currencies_v2.spec.ts","Currencies Convertions","","","Verify USD to JPY conversion",""
"failed","Tue Jan 23 17:21:18 GMT 2024","Tue Jan 23 17:21:18 GMT 2024","38","chromium","currencies_v2.spec.ts","Currencies Convertions","","","Verify CHF to CNY conversion",""
"failed","Tue Jan 23 17:21:25 GMT 2024","Tue Jan 23 17:21:25 GMT 2024","37","chromium","currencies.spec.ts","Currencies Convertions","","","Verify AUD to CAD conversion",""
"failed","Tue Jan 23 17:21:19 GMT 2024","Tue Jan 23 17:21:19 GMT 2024","36","chromium","currencies_v2.spec.ts","Currencies Convertions","","","Verify AUD to CAD conversion",""
"failed","Tue Jan 23 17:21:23 GMT 2024","Tue Jan 23 17:21:23 GMT 2024","40","chromium","currencies.spec.ts","Currencies Convertions","","","Verify EUR to GBP conversion",""
"failed","Tue Jan 23 17:21:24 GMT 2024","Tue Jan 23 17:21:24 GMT 2024","39","chromium","currencies.spec.ts","Currencies Convertions","","","Verify USD to JPY conversion",""
"failed","Tue Jan 23 17:21:22 GMT 2024","Tue Jan 23 17:21:22 GMT 2024","38","chromium","currencies.spec.ts","Currencies Convertions","","","Do not accept invalid amounts",""
