"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 23 18:51:14 GMT 2024","Tue Jan 23 18:51:30 GMT 2024","15565","chromium","currencies_v2.spec.ts","Currencies Convertions","","","Verify EUR to GBP conversion",""
"passed","Tue Jan 23 18:54:45 GMT 2024","Tue Jan 23 18:54:58 GMT 2024","12540","chromium","currencies.spec.ts","Currencies Convertions","","","Verify AUD to CAD conversion",""
"passed","Tue Jan 23 18:52:08 GMT 2024","Tue Jan 23 18:52:24 GMT 2024","15643","chromium","currencies_v2.spec.ts","Currencies Convertions","","","Verify USD to JPY conversion",""
"passed","Tue Jan 23 18:55:06 GMT 2024","Tue Jan 23 18:55:14 GMT 2024","8030","chromium","currencies.spec.ts","Currencies Convertions","","","Verify INR to SGD conversion",""
"passed","Tue Jan 23 18:53:02 GMT 2024","Tue Jan 23 18:53:19 GMT 2024","16233","chromium","currencies_v2.spec.ts","Currencies Convertions","","","Verify INR to SGD conversion",""
"passed","Tue Jan 23 18:54:22 GMT 2024","Tue Jan 23 18:54:26 GMT 2024","4026","chromium","currencies.spec.ts","Currencies Convertions","","","Do not accept a conversion with zero amount",""
"passed","Tue Jan 23 18:54:26 GMT 2024","Tue Jan 23 18:54:30 GMT 2024","3630","chromium","currencies.spec.ts","Currencies Convertions","","","Do not accept invalid amounts",""
"passed","Tue Jan 23 18:53:57 GMT 2024","Tue Jan 23 18:54:11 GMT 2024","14327","chromium","currencies_v2.spec.ts","Currencies Convertions","","","Verify CHF to CNY conversion",""
"passed","Tue Jan 23 18:54:30 GMT 2024","Tue Jan 23 18:54:38 GMT 2024","8218","chromium","currencies.spec.ts","Currencies Convertions","","","Verify EUR to GBP conversion",""
"passed","Tue Jan 23 18:54:38 GMT 2024","Tue Jan 23 18:54:45 GMT 2024","7455","chromium","currencies.spec.ts","Currencies Convertions","","","Verify USD to JPY conversion",""
"passed","Tue Jan 23 18:54:11 GMT 2024","Tue Jan 23 18:54:22 GMT 2024","10783","chromium","currencies_v2.spec.ts","Currencies Convertions","","","Verify AUD to CAD conversion",""
"passed","Tue Jan 23 18:54:58 GMT 2024","Tue Jan 23 18:55:06 GMT 2024","8080","chromium","currencies.spec.ts","Currencies Convertions","","","Verify CHF to CNY conversion",""
